Version,N,Threads,Time
OMP_PAR_SIMD,1000000,4,0.000196611
OMP_SIMD,1000000,1,0.000272601
OMP_PAR_SIMD,1000000,8,0.000311854
OMP_SIMD,1000000,1,0.000342935
OMP_PAR_SIMD,1000000,8,0.000355786
OMP_SIMD,1000000,1,0.000274347
OMP_PAR_SIMD,1000000,8,0.000395737
OMP_SIMD,1000000,1,0.000230974
OMP_PAR_SIMD,1000000,8,0.000259121
OMP_SIMD,1000000,1,0.000293485
OMP_PAR_SIMD,1000000,8,0.000287688
OMP_SIMD,1000000,1,0.000298793
OMP_PAR_SIMD,1000000,16,0.0126843
OMP_SIMD,1000000,1,0.000294463
OMP_PAR_SIMD,1000000,16,0.000561616
OMP_SIMD,1000000,1,0.000369475
OMP_PAR_SIMD,1000000,16,0.00640575
OMP_SIMD,1000000,1,0.000235515
OMP_PAR_SIMD,1000000,16,0.000504903
OMP_SIMD,1000000,1,0.000258005
OMP_PAR_SIMD,1000000,16,0.000535705
OMP_NAIVE,100000,1,0.000150374
OMP_SMART,100000,1,1.8648e-05
OMP_NAIVE,100000,1,0.000171886
OMP_SMART,100000,1,2.5772e-05
OMP_NAIVE,100000,1,0.000203805
OMP_SMART,100000,1,2.9544e-05
OMP_NAIVE,100000,1,0.000191163
OMP_SMART,100000,1,2.724e-05
OMP_NAIVE,100000,1,0.000255001
OMP_SMART,100000,1,3.3944e-05
OMP_NAIVE,100000,2,0.00025542
OMP_SMART,100000,2,1.7601e-05
OMP_NAIVE,100000,2,0.000145136
OMP_SMART,100000,2,1.1803e-05
OMP_NAIVE,100000,2,0.000220079
OMP_SMART,100000,2,1.9556e-05
OMP_NAIVE,100000,2,0.000160851
OMP_SMART,100000,2,1.2991e-05
OMP_NAIVE,100000,2,0.000147301
OMP_SMART,100000,2,1.3759e-05
OMP_NAIVE,100000,4,0.000218263
OMP_SMART,100000,4,1.0546e-05
OMP_NAIVE,100000,4,0.000207228
OMP_SMART,100000,4,1.0476e-05
OMP_NAIVE,100000,4,0.000212187
OMP_SMART,100000,4,1.0197e-05
OMP_NAIVE,100000,4,0.000166857
OMP_SMART,100000,4,9.219e-06
OMP_NAIVE,100000,4,0.000161689
OMP_SMART,100000,4,7.962e-06
OMP_NAIVE,100000,8,0.000243966
OMP_SMART,100000,8,8.102e-06
OMP_NAIVE,100000,8,0.000225457
OMP_SMART,100000,8,7.194e-06
OMP_NAIVE,100000,8,0.000262475
OMP_SMART,100000,8,7.474e-06
OMP_NAIVE,100000,8,0.000258633
OMP_SMART,100000,8,7.054e-06
OMP_NAIVE,100000,8,0.000252557
OMP_SMART,100000,8,6.705e-06
OMP_NAIVE,100000,16,0.000401325
OMP_SMART,100000,16,8.102e-06
OMP_NAIVE,100000,16,0.00517636
OMP_SMART,100000,16,0.000633487
OMP_NAIVE,100000,16,0.0133927
OMP_SMART,100000,16,0.00400563
OMP_NAIVE,100000,16,0.000469422
OMP_SMART,100000,16,8.521e-06
OMP_NAIVE,100000,16,0.000472007
OMP_SMART,100000,16,9.15e-06
OMP_NAIVE,500000,1,0.000877452
OMP_SMART,500000,1,0.000123065
OMP_NAIVE,500000,1,0.00123533
OMP_SMART,500000,1,0.000172725
OMP_NAIVE,500000,1,0.000943035
